Char   Codepoint     Frequency
脞      U+0811E             16
旳      U+065F3             16
鷤      U+09DE4             16
怔      U+06014             16
懨      U+061E8             16
躒      U+08E92             16
舎      U+0820E             16
譫      U+08B6B             16
詧      U+08A67             16
恊      U+0604A             16
煆      U+07146             16
匄      U+05304             16
勮      U+052EE             16
浏      U+06D4F             15
逻      U+0903B             15
戹      U+06239             15
侘      U+04F98             15
葹      U+08479             15
敶      U+06576             15
珧      U+073E7             15
逴      U+09034             15
炀      U+07080             15
匮      U+0532E             15
讵      U+08BB5             15
陿      U+0967F             15
侨      U+04FA8             15
综      U+07EFC             15
鵙      U+09D59             15
黉      U+09EC9             15
芯      U+082AF             15
觇      U+089C7             15
锯      U+0952F             15
衅      U+08845             15
脓      U+08113             15
篽      U+07BFD             15
啮      U+0556E             15
哝      U+054DD             15
缜      U+07F1C             15
姗      U+059D7             15
蟁      U+087C1             15
绋      U+07ECB             15
荦      U+08366             15
镌      U+0954C             15
牺      U+0727A             15
惎      U+060CE             15
巹      U+05DF9             15
觏      U+089CF             15
馵      U+099B5             15
稙      U+07A19             15
罫      U+07F6B             15
䱥      U+04C65             15
閌      U+0958C             15
檃      U+06A83             15
劼      U+052BC             15
擉      U+064C9             15
靼      U+0977C             15
廑      U+05ED1             15
蚳      U+086B3             15
飰      U+098F0             15
凢      U+051E2             15
庻      U+05EBB             15
耤      U+08024             15
鈆      U+09206             15
鈹      U+09239             15
瀠      U+07020             15
鏽      U+093FD             15
慫      U+0616B             15
碯      U+078AF             15
橚      U+06A5A             15
蘀      U+08600             15
蘙      U+08619             15
䳏      U+04CCF             15
渲      U+06E32             15
鱭      U+09C6D             15
渻      U+06E3B             15
藨      U+085E8             15
冞      U+0519E             15
胗      U+080D7             15
捭      U+0636D             15
冫      U+051AB             15
嚞      U+0569E             15
㟽      U+037FD             15
𢍰      U+22370             15
彔      U+05F54             15
籉      U+07C49             15
𨙅      U+28645             15
埇      U+057C7             15
鋟      U+092DF             15
鴰      U+09D30             15
胏      U+080CF             15
酗      U+09157             15
髖      U+09AD6             15
軹      U+08EF9             15
鵪      U+09D6A             15
刦      U+05226             15
薯      U+085AF             15
鮀      U+09B80             15
澾      U+06FBE             15
搒      U+06412             15
馧      U+099A7             15
榨      U+069A8             15
嚗      U+05697             15
憃      U+06183             15
糉      U+07CC9             15
袝      U+0889D             15
熯      U+071AF             15
稉      U+07A09             15
苯      U+082EF             15
翀      U+07FC0             15
嚵      U+056B5             15
鼗      U+09F17             15
袐      U+08890             15
毉      U+06BC9             15
叅      U+053C5             15
啕      U+05555             15
籒      U+07C52             15
衇      U+08847             15
殴      U+06BB4             15
骁      U+09A81             15
掂      U+06382             15
埚      U+057DA             15
欿      U+06B3F             14
茍      U+0830D             14
薋      U+0858B             14
诒      U+08BD2             14
篿      U+07BFF             14
胁      U+080C1             14
轭      U+08F6D             14
虿      U+0867F             14
蚰      U+086B0             14
紃      U+07D03             14
邺      U+090BA             14
炧      U+070A7             14
础      U+07840             14
籴      U+07C74             14
畇      U+07547             14
谛      U+08C1B             14
砒      U+07812             14
辐      U+08F90             14
祯      U+0796F             14
鹁      U+09E41             14
瞩      U+077A9             14
槮      U+069EE             14
碟      U+0789F             14
绷      U+07EF7             14
咭      U+054AD             14
谕      U+08C15             14
娴      U+05A34             14
谆      U+08C06             14
柎      U+067CE             14
喨      U+055A8             14
脽      U+0813D             14
膀      U+08180             14
罦      U+07F66             14
慅      U+06145             14
饎      U+0994E             14
鰋      U+09C0B             14
